TSK,PSFC,U10,V10,Q2,RAINC,RAINNC,SNOW,TSLB,SMOIS,DATETIME,WIND_SPEED
274.15,97392,3.1,0.6,0.00393,NA,0,0,277.5,0.2696,2018-04-30T19:00:00Z,3.16
274.15,96298,2.6,1.5,0.00362,0,0,0,278.1,0.2457,2018-04-30T19:00:00Z,3
274.4,99340,-0.9,3.6,0.00389,0,0,0,277.7,0.264,2018-04-30T19:00:00Z,3.71
282.4,100477,1.2,7.7,0.00524,0,0,0,273.2,1,2018-04-30T19:00:00Z,7.79
274.15,98697,0.6,0.7,0.00367,0,0,0,279.6,0.2873,2018-04-30T19:00:00Z,0.92
274.15,99203,-0.3,3.5,0.00422,0,0,0,277.5,0.2827,2018-04-30T19:00:00Z,3.51
274.2,99758,-0.7,3.3,0.00408,0,0,0,277.8,0.2657,2018-04-30T19:00:00Z,3.37
274.15,98914,0.9,3,0.00412,0,0,0,278.2,0.2945,2018-04-30T19:00:00Z,3.13
281.3,100515,0,3.9,0.00465,0,0,0,273.2,1,2018-04-30T19:00:00Z,3.9
274.15,96558,1.3,2.6,0.00382,0,0,0,277.9,0.2458,2018-04-30T19:00:00Z,2.91
279.2,100646,2.8,1.5,0.00465,0,0,0,273.2,1,2018-04-30T19:00:00Z,3.18
274.15,97443,-0.1,3.9,0.004235,0,0,0,277.5,0.2625,2018-04-30T19:00:00Z,3.9
279.3,100688,2.9,-0.1,0.00488,0,0,0,273.2,1,2018-04-30T19:00:00Z,2.9
274.15,94317,1.1,0,0.00384,0,0,0,277.7,0.2663,2018-04-30T19:00:00Z,1.1
274.15,96706,-0.3,2.8,0.0039,0,0,0,277.1,0.63315,2018-04-30T19:00:00Z,2.82
274.15,99419,-0.3,3,0.00393,0,0,0,277.6,0.2658,2018-04-30T19:00:00Z,3.01
274.15,100212,-0.9,-0.7,0.00399,0,0,0,277.8,0.2389,2018-04-30T19:00:00Z,1.14
274.15,98271,0.4,-1.1,0.00393,0,0,0,279.5,0.2358,2018-04-30T19:00:00Z,1.17
282.6,100397,-0.1,6.9,0.00511,0,0,0,273.2,1,2018-04-30T19:00:00Z,6.9
274.15,95510,0.7,2.5,0.00383,0,0,0,277.3,0.2779,2018-04-30T19:00:00Z,2.6
274.15,98105,0.3,3.2,0.00381,0,0,0,277.2,0.2366,2018-04-30T19:00:00Z,3.21
274.15,96637,0.2,2.1,0.00386,0,0,0,278.3,0.2641,2018-04-30T19:00:00Z,2.11
274.15,98254,-2.6,1.6,0.00403,0,0,0,277.6,0.2573,2018-04-30T19:00:00Z,3.05
274.15,97857,2.6,-0.2,0.0039,0,0,0,278,0.2751,2018-04-30T19:00:00Z,2.61
274.15,97603,-0.1,2.1,0.00378,0,0,0,278.7,0.2445,2018-04-30T19:00:00Z,2.1
282.2,100533,2.6,7,0.00514,0,0,0,273.2,1,2018-04-30T19:00:00Z,7.47
274.15,99494,0.5,-0.2,0.00361,0,0,0,278.8,0.2958,2018-04-30T19:00:00Z,0.54
274.15,98057,1.6,-1.9,0.00343,0,0,0,278.5,0.2746,2018-04-30T19:00:00Z,2.48
280.1,100348,1.8,4.4,0.00434,0,0,0,273.2,1,2018-04-30T19:00:00Z,4.75
274.15,96599,0.1,0.9,0.00378,0,0,0,278.9,0.2935,2018-04-30T19:00:00Z,0.91
